Date,Client,Contat_Name,First_Name,Last_Name,Department,Province,Payment_Method,Revenue,Profit,Profit_Margin,Data_Quality_Notes (Profit),Data_Quality_Notes (Profit_Margin)
6/11/2023,ARZAMART ,Ana Paula,Ana,Paula,Finance,Luanda,Transfer,4069,1015,0.249447039,,
12/25/2023,NOSSO SUPERMERCADO ,Jose Manuel,Jose,Manuel,Sales,Benguela,Card,6512,1641,0.251996314,,
3/25/2023,"TESLA, INC. ",Pedro Alves,Pedro,Alves,IT,Luanda,Cash,7342,1047,0.142604195,,
12/25/2022,SHOPRITE ANGOLA ,Ana Paula,Ana,Paula,Logistics,Huambo,Transfer,3411,1129,0.33098798,,
5/14/2022,NOSSO SUPERMERCADO ,Pedro Alves,Pedro,Alves,Sales,Luanda,Cash,4802,696,0.144939608,,
10/20/2022,ARZAMART ,Luiz Fernando,Luiz,Fernando,IT,Luanda,Transfer,3343,800,0.239306013,,
9/13/2023,SHOPRITE ANGOLA ,Pedro Alves,Pedro,Alves,Logistics,Luanda,Transfer,4478,1461,0.326261724,,
9/16/2023,"TESLA, INC. ",Ana Paula,Ana,Paula,Finance,Luanda,Card,7693,814,0.105810477,,
3/11/2023,AMAZON.CO ,Jose Manuel,Jose,Manuel,Logistics,Huambo,Cash,6938,1849,0.266503315,,
12/20/2022,MAXI CASH ,Jose Manuel,Jose,Manuel,Logistics,Luanda,Cash,4256,1845,0.433505639,,
5/27/2022,WALMART INTL ,Ana Paula,Ana,Paula,Logistics,Huambo,Cash,4164,1577,0.378722382,,
4/1/2022,"TESLA, INC. ",Jose Manuel,Jose,Manuel,Finance,Luanda,Card,6623,1521,0.229654235,,
12/22/2022,AMAZON.CO ,Carlos Miguel,Carlos,Miguel,IT,Luanda,PayPal,5378,1480,0.27519524,,
2/10/2022,ARZAMART ,Carlos Miguel,Carlos,Miguel,Logistics,Huambo,Card,4239,1462,0.344892663,,
12/26/2023,"TESLA, INC. ",Ana Paula,Ana,Paula,Logistics,Huambo,Card,3220,1540,0.47826087,,
12/20/2022,KERO ,Ana Paula,Ana,Paula,Finance,Luanda,Transfer,5986,1513,0.252756432,,
10/12/2022,KERO ,Marta Silva,Marta,Silva,Finance,Luanda,PayPal,5976,1926,0.322289157,,
3/3/2024,KERO ,Luiz Fernando,Luiz,Fernando,Sales,Luanda,Card,3340,1443,0.432035928,,
1/11/2024,NOSSO SUPERMERCADO ,Ana Paula,Ana,Paula,Finance,Luanda,Transfer,6798,1253,0.184318917,,
10/5/2023,SHOPRITE ANGOLA ,Marta Silva,Marta,Silva,IT,Luanda,Transfer,6641,1607,0.241981629,,
10/5/2023,NOSSO SUPERMERCADO ,Pedro Alves,Pedro,Alves,Logistics,Luanda,Card,4274,1165,0.272578381,,
1/4/2024,ARZAMART ,Luiz Fernando,Luiz,Fernando,Finance,Luanda,Transfer,6768,1484,0.219267139,,
11/2/2022,NOSSO SUPERMERCADO ,Luiz Fernando,Luiz,Fernando,Sales,Luanda,Transfer,3073,1610,0.523917995,,
11/14/2022,SHOPRITE ANGOLA ,Carlos Miguel,Carlos,Miguel,IT,Luanda,PayPal,7621,1105,0.144994095,,
9/14/2023,ARZAMART ,Luiz Fernando,Luiz,Fernando,Logistics,Luanda,Card,3945,1274,0.322940431,,
7/27/2022,WALMART INTL ,Carlos Miguel,Carlos,Miguel,Finance,Luanda,Transfer,7310,1566,0.214227086,,
2/23/2023,NOSSO SUPERMERCADO ,Pedro Alves,Pedro,Alves,Logistics,Huambo,Card,7623,1150,0.150859242,,
2/26/2022,WALMART INTL ,Ana Paula,Ana,Paula,Logistics,Huambo,Cash,4305,1387,0.322183508,,
6/26/2022,AMAZON.CO ,Marta Silva,Marta,Silva,IT,Luanda,Card,5750,865,0.150434783,,
4/7/2022,NOSSO SUPERMERCADO ,Ana Paula,Ana,Paula,Logistics,Luanda,PayPal,7629,1983,0.259929217,,
5/8/2023,SHOPRITE ANGOLA ,Carlos Miguel,Carlos,Miguel,IT,Luanda,Card,4240,1796,0.423584906,,
12/10/2022,SHOPRITE ANGOLA ,Luiz Fernando,Luiz,Fernando,Logistics,Luanda,Card,3406,1351,0.396652965,,
6/2/2022,MAXI CASH ,Ana Paula,Ana,Paula,IT,Luanda,Transfer,7277,1948,0.267692731,,
2/20/2023,NOSSO SUPERMERCADO ,Carlos Miguel,Carlos,Miguel,IT,Luanda,PayPal,3079,697,0.226372199,,
2/4/2022,MAXI CASH ,Carlos Miguel,Carlos,Miguel,Sales,Luanda,Transfer,6508,1466,0.225261217,,
3/2/2024,SHOPRITE ANGOLA ,Jose Manuel,Jose,Manuel,Logistics,Huambo,Cash,6277,950,0.151346184,,
